climate.station,lat,long,crop,avg.sowing.doy,X..values.sowing,avg.harvest.doy,X..values.harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy,climate.station2
140,52.6861,11.4272,WW,283,16,211,NA,260,288,197,227,140
183,54.6792,13.4343,WW,255,16,223,NA,247,280,205,236,183
591,53.3911,10.6878,WW,268,8,221,NA,254,290,207,232,591
596,54.0028,11.1908,WW,268,12,218,NA,248,287,201,228,596
640,50.8685,12.7237,WW,262,13,227,NA,261,291,207,240,640
662,52.2914,10.4465,WW,287,16,214,NA,270,292,201,232,662
717,51.3873,8.5737,WW,283,16,235,NA,261,296,217,249,717
821,49.1443,10.5024,WW,284,7,207,NA,257,281,201,213,821
822,51.2066,14.2371,WW,275,9,210,NA,271,281,197,223,822
853,50.7913,12.872,WW,274,8,225,NA,264,298,207,242,853
880,51.776,14.3168,WW,273,16,211,NA,260,289,200,221,880
882,50.7813,10.786,WW,278,15,232,NA,262,287,215,247,882
891,53.8713,8.7058,WW,276,9,216,NA,261,293,201,232,891
1133,52.1014,11.2322,WW,279,16,212,NA,250,270,200,228,1133
1412,50.8969,13.2205,WW,290,16,217,NA,260,286,207,230,1412
1532,53.6865,11.0608,WW,287,16,213,NA,248,279,201,230,1532
1544,52.5129,11.3941,WW,271,3,211,NA,260,275,199,224,1544
1612,50.8813,12.1289,WW,286,15,211,NA,247,278,196,230,1612
1684,51.1622,14.9506,WW,296,6,211,NA,271,290,191,226,1684
1766,52.1344,7.6969,WW,287,9,212,NA,274,289,204,233,1766
1780,50.4316,11.9443,WW,281,15,227,NA,263,302,212,246,1780
1820,50.85,11.6667,WW,288,16,219,NA,265,290,207,235,1820
1957,51.5138,11.9499,WW,296,8,210,NA,263,281,198,232,1957
2163,51.5448,10.8748,WW,265,14,221,NA,260,290,207,249,2163
2468,50.9352,12.6206,WW,275,15,219,NA,281,302,207,232,2468
2625,52.739,12.4984,WW,275,6,220,NA,263,306,201,233,2625
2895,49.3442,11.5664,WW,295,9,225,NA,264,282,208,238,2895
2995,52.8719,13.3927,WW,282,4,219,NA,255,295,207,227,2995
3015,52.2085,14.118,WW,292,16,216,NA,273,305,206,227,3015
3023,52.5181,7.3081,WW,283,8,214,NA,275,291,206,222,3023
3028,51.7855,8.8388,WW,286,9,210,NA,266,294,200,219,3028
3126,52.1029,11.5827,WW,286,16,206,NA,260,293,191,227,3126
3196,53.3223,11.9319,WW,277,6,222,NA,248,266,213,234,3196
3287,49.7176,9.0997,WW,295,6,216,NA,260,287,207,232,3287
3302,51.0418,11.0062,WW,285,13,212,NA,269,294,192,224,3302
3314,52.1458,11.9563,WW,288,14,209,NA,253,283,197,221,3314
3347,51.7384,9.7899,WW,283,7,222,NA,258,280,214,231,3347
3552,52.9037,12.8072,WW,283,4,216,NA,277,290,201,234,3552
3637,51.5158,10.7739,WW,277,8,226,NA,268,293,216,239,3637
3660,50.3601,6.8697,WW,281,6,227,NA,271,294,215,236,3660
3684,51.2873,11.0183,WW,283,16,213,NA,263,293,202,229,3684
3750,48.0579,9.9479,WW,284,7,220,NA,281,293,203,233,3750
3761,49.207,9.5175,WW,280,7,213,NA,275,301,202,227,3761
3811,51.296,13.0928,WW,266,9,208,NA,263,284,197,221,3811
4372,50.8063,10.2294,WW,285,11,215,NA,272,285,204,223,4372
4466,54.5275,9.5487,WW,284,15,218,NA,255,289,204,236,4466
4642,52.8911,11.7297,WW,279,13,211,NA,249,297,203,229,4642
4887,48.6657,9.8646,WW,286,16,222,NA,255,281,213,235,4887
4933,48.7091,9.2147,WW,273,16,218,NA,277,296,204,232,4933
5100,49.7479,6.6582,WW,267,12,219,NA,277,290,199,234,5100
5142,53.7444,14.0697,WW,273,10,225,NA,255,287,220,228,5142
5397,49.6663,12.1845,WW,286,4,218,NA,275,288,212,231,5397
5404,48.4025,11.6946,WW,283,15,212,NA,275,286,197,222,5404
5750,51.0314,12.1495,WW,284,8,215,NA,265,293,205,222,5750
5856,48.5451,13.3531,WW,281,7,214,NA,269,295,197,228,5856
7504,54.3167,10.05,WW,277,13,222,NA,255,283,212,237,7504
7532,54.4,8.7667,WW,260,16,222,NA,253,282,209,238,7532
7539,53.95,10.6833,WW,286,12,223,NA,255,302,212,232,7539
7559,54.75,9.9,WW,270,5,221,NA,252,276,215,229,7559
7564,54.7167,9.95,WW,275,16,222,NA,252,291,210,242,7564
7566,54.75,9.5167,WW,288,16,224,NA,241,265,211,236,7566
7592,53.4833,10.6333,WW,274,16,216,NA,255,298,200,233,7592
7601,53.6167,10.7,WW,270,15,218,NA,253,277,206,233,7601
7605,53.75,10.6167,WW,253,3,222,NA,267,284,213,228,7605
7608,53.5,10.4833,WW,270,16,220,NA,259,278,200,240,7608
7616,54.6167,8.9667,WW,277,16,220,NA,246,273,208,236,7616
7623,54.6667,9.1333,WW,270,16,225,NA,227,273,212,237,7623
7624,54.5167,8.65,WW,261,14,221,NA,224,290,212,233,7624
7635,54.25,9.1833,WW,261,3,213,NA,269,289,191,232,7635
7642,54.2333,11.0833,WW,277,16,222,NA,263,281,213,235,7642
7646,54.25,10.8333,WW,270,15,217,NA,246,280,206,232,7646
7650,54.1,10.8167,WW,264,16,221,NA,259,290,211,232,7650
7651,54.3,10.9,WW,283,8,223,NA,252,288,216,230,7651
7655,54.1833,10.75,WW,265,5,229,NA,271,288,215,247,7655
7662,53.7333,9.7833,WW,270,6,222,NA,256,278,206,235,7662
7676,54.1167,10.4833,WW,262,16,220,NA,248,288,209,233,7676
7682,54.3167,10.5,WW,258,16,220,NA,237,283,209,244,7682
7697,54.1167,10.1667,WW,266,16,220,NA,258,280,211,230,7697
7700,54.1667,10.05,WW,257,10,223,NA,259,279,207,238,7700
7721,54.1167,9.4333,WW,269,9,222,NA,264,293,208,237,7721
7730,54.6167,9.8333,WW,260,16,223,NA,248,276,203,234,7730
7736,54.55,9.4,WW,265,9,225,NA,226,285,201,253,7736
7748,54.0667,10.2167,WW,271,14,220,NA,263,282,201,246,7748
7759,53.8167,10.15,WW,281,4,217,NA,259,277,206,230,7759
